datetime,o,h,l,c,time,date
2018/1/19 11:00,11131.43,11131.43,11125.39,11129.87,11:00:00,2018/1/19
2018/1/19 11:30,11127.34,11128.57,11122.69,11127.86,11:30:00,2018/1/19
2018/1/19 12:00,11126.3,11128.77,11125.42,11126.81,12:00:00,2018/1/19
2018/1/19 12:30,11120.67,11122.67,11120.15,11120.48,12:30:00,2018/1/19
2018/1/19 13:00,11123.58,11125.49,11119.73,11122.89,13:00:00,2018/1/19
2018/1/19 13:30,11150.85,11150.85,11150.85,11150.85,13:30:00,2018/1/19
2018/1/22 09:00,11169.79,11170.23,11159.74,11170.23,09:00:00,2018/1/22
2018/1/22 09:30,11170.13,11172.08,11166.92,11169.39,09:30:00,2018/1/22
2018/1/22 10:00,11161.14,11164.82,11158.01,11158.01,10:00:00,2018/1/22
2018/1/22 10:30,11191.1,11192.26,11186.05,11187.86,10:30:00,2018/1/22
2018/1/22 11:00,11188.55,11192.86,11185.08,11188.1,11:00:00,2018/1/22
2018/1/22 11:30,11178.83,11179.74,11172.19,11177.34,11:30:00,2018/1/22
2018/1/22 12:00,11194.7,11197.79,11192.06,11195.47,12:00:00,2018/1/22
2018/1/22 12:30,11203.1,11207.56,11200.69,11201.63,12:30:00,2018/1/22
2018/1/22 13:00,11214.47,11220.81,11210.76,11217.81,13:00:00,2018/1/22
2018/1/22 13:30,11231.46,11231.46,11231.46,11231.46,13:30:00,2018/1/22
2018/1/23 09:00,11243.49,11257.34,11243.49,11256.46,09:00:00,2018/1/23
2018/1/23 09:30,11231.06,11235.7,11229.95,11233.48,09:30:00,2018/1/23
2018/1/23 10:00,11264.71,11266,11257.83,11265.07,10:00:00,2018/1/23
2018/1/23 10:30,11211.35,11211.35,11203.15,11203.15,10:30:00,2018/1/23
2018/1/23 11:00,11227.25,11227.25,11221.84,11222.41,11:00:00,2018/1/23
2018/1/23 11:30,11240.13,11240.45,11230.52,11235.52,11:30:00,2018/1/23
2018/1/23 12:00,11237.02,11239.98,11236.8,11238.78,12:00:00,2018/1/23
2018/1/23 12:30,11231.27,11235.1,11227.94,11233.26,12:30:00,2018/1/23
2018/1/23 13:00,11239.53,11239.53,11233.23,11236.6,13:00:00,2018/1/23
2018/1/23 13:30,11253.11,11253.11,11253.11,11253.11,13:30:00,2018/1/23
2018/1/24 09:00,11228.71,11228.71,11209.24,11209.24,09:00:00,2018/1/24
2018/1/24 09:30,11165.24,11167.67,11160.03,11167.67,09:30:00,2018/1/24
2018/1/24 10:00,11148.66,11153.11,11146.15,11147.74,10:00:00,2018/1/24
2018/1/24 10:30,11137.37,11138.42,11132.96,11135.25,10:30:00,2018/1/24
2018/1/24 11:00,11124.12,11131.36,11124.11,11131.36,11:00:00,2018/1/24
2018/1/24 11:30,11144.41,11153.49,11144.41,11149.78,11:30:00,2018/1/24
2018/1/24 12:00,11146.49,11150.71,11144.21,11149.14,12:00:00,2018/1/24
2018/1/24 12:30,11125.33,11128.72,11121.78,11125.01,12:30:00,2018/1/24
2018/1/24 13:00,11131.22,11133,11129.36,11130.63,13:00:00,2018/1/24
2018/1/24 13:30,11152.16,11152.16,11152.16,11152.16,13:30:00,2018/1/24
2018/1/25 09:00,11154.36,11166.73,11154.36,11165.19,09:00:00,2018/1/25
2018/1/25 09:30,11231.57,11248.07,11229.26,11247.71,09:30:00,2018/1/25
2018/1/25 10:00,11224.82,11226.05,11218.23,11219.73,10:00:00,2018/1/25
2018/1/25 10:30,11195.4,11199.41,11192.97,11198.03,10:30:00,2018/1/25
2018/1/25 11:00,11178.88,11185.6,11175.26,11178.68,11:00:00,2018/1/25
2018/1/25 11:30,11193.47,11197.96,11190.77,11193.66,11:30:00,2018/1/25
2018/1/25 12:00,11191.13,11195.5,11189.06,11189.36,12:00:00,2018/1/25
2018/1/25 12:30,11169.77,11176.07,11166.17,11172.69,12:30:00,2018/1/25
2018/1/25 13:00,11142.59,11147.5,11136.82,11138.94,13:00:00,2018/1/25
2018/1/25 13:30,11165.95,11165.95,11165.95,11165.95,13:30:00,2018/1/25
2018/1/26 09:00,11152.53,11158.14,11141.8,11141.8,09:00:00,2018/1/26
2018/1/26 09:30,11127.07,11127.13,11120.25,11122.52,09:30:00,2018/1/26
2018/1/26 10:00,11112.72,11113.89,11106.58,11109.95,10:00:00,2018/1/26
2018/1/26 10:30,11126,11129.55,11124.25,11127.53,10:30:00,2018/1/26
2018/1/26 11:00,11117.55,11120.2,11117.14,11119.31,11:00:00,2018/1/26
2018/1/26 11:30,11120.65,11122.45,11116.56,11120.95,11:30:00,2018/1/26
2018/1/26 12:00,11116.45,11121.5,11113.18,11115.62,12:00:00,2018/1/26
2018/1/26 12:30,11149.69,11149.69,11141.85,11141.85,12:30:00,2018/1/26
2018/1/26 13:00,11147.69,11151.47,11144.63,11147.62,13:00:00,2018/1/26
2018/1/26 13:30,11147.1,11147.1,11147.1,11147.1,13:30:00,2018/1/26
2018/2/12 09:00,10429.09,10454.34,10429.09,10453.87,09:00:00,2018/2/12
2018/2/12 09:30,10441.23,10445.02,10436.12,10442.05,09:30:00,2018/2/12
2018/2/12 10:00,10453.83,10454.77,10445.84,10445.84,10:00:00,2018/2/12
2018/2/12 10:30,10425.52,10430.19,10421.95,10428.73,10:30:00,2018/2/12
2018/2/12 11:00,10448.27,10450.02,10446.86,10449.1,11:00:00,2018/2/12
2018/2/12 11:30,10459.19,10460.53,10454.63,10455.32,11:30:00,2018/2/12
2018/2/12 12:00,10473.37,10473.51,10464.2,10465.18,12:00:00,2018/2/12
2018/2/12 12:30,10459.31,10460.2,10457.77,10458.74,12:30:00,2018/2/12
2018/2/12 13:00,10443.15,10446.23,10435.27,10435.39,13:00:00,2018/2/12
2018/2/12 13:30,10421.09,10421.09,10421.09,10421.09,13:30:00,2018/2/12
2018/2/21 09:00,10559.79,10649.27,10559.79,10643.43,09:00:00,2018/2/21
2018/2/21 09:30,10635.24,10640,10630.55,10637.53,09:30:00,2018/2/21
2018/2/21 10:00,10659.33,10663.61,10656.48,10660.02,10:00:00,2018/2/21
2018/2/21 10:30,10695.64,10697.24,10689.01,10689.01,10:30:00,2018/2/21
