,datetime,o,h,l,c,time,date
987,2018-02-12 12:00:00,10473.37,10473.51,10433.51,10444.95,12:00:00,2018-02-12
988,2018-02-12 13:00:00,10443.15,10446.23,10421.09,10421.09,13:00:00,2018-02-12
1200,2018-02-21 09:00:00,10559.79,10667.8,10559.79,10660.16,09:00:00,2018-02-21
1201,2018-02-21 10:00:00,10659.33,10711.39,10655.91,10703.3,10:00:00,2018-02-21
1202,2018-02-21 11:00:00,10703.57,10720.48,10690.29,10699.99,11:00:00,2018-02-21
1203,2018-02-21 12:00:00,10693.15,10709.45,10688.29,10708.41,12:00:00,2018-02-21
1204,2018-02-21 13:00:00,10706.43,10714.55,10693.85,10714.44,13:00:00,2018-02-21
1224,2018-02-22 09:00:00,10698.47,10698.47,10620.8,10633.56,09:00:00,2018-02-22
1225,2018-02-22 10:00:00,10640.82,10669.62,10635.85,10669.62,10:00:00,2018-02-22
1226,2018-02-22 11:00:00,10669.34,10683.24,10662.87,10676.55,11:00:00,2018-02-22
1227,2018-02-22 12:00:00,10673.22,10677.99,10645.94,10651.25,12:00:00,2018-02-22
1228,2018-02-22 13:00:00,10650.48,10670.09,10643.69,10662.38,13:00:00,2018-02-22
1248,2018-02-23 09:00:00,10688.97,10772.67,10688.97,10761.28,09:00:00,2018-02-23
1249,2018-02-23 10:00:00,10759.82,10799.29,10754.12,10796.39,10:00:00,2018-02-23
1250,2018-02-23 11:00:00,10796.32,10797.8,10754.41,10763.42,11:00:00,2018-02-23
1251,2018-02-23 12:00:00,10761.91,10774.23,10751.04,10766.43,12:00:00,2018-02-23
1252,2018-02-23 13:00:00,10768.81,10794.55,10749.52,10794.55,13:00:00,2018-02-23
1320,2018-02-26 09:00:00,10827.98,10890.69,10827.98,10848.76,09:00:00,2018-02-26
1321,2018-02-26 10:00:00,10852.65,10859.47,10841.44,10855.83,10:00:00,2018-02-26
1322,2018-02-26 11:00:00,10857.49,10868.13,10850.86,10865.07,11:00:00,2018-02-26
1323,2018-02-26 12:00:00,10861.0,10868.72,10851.29,10857.93,12:00:00,2018-02-26
1324,2018-02-26 13:00:00,10858.74,10860.86,10836.7,10836.7,13:00:00,2018-02-26
1344,2018-02-27 09:00:00,10896.16,10937.9,10873.95,10879.38,09:00:00,2018-02-27
1345,2018-02-27 10:00:00,10878.36,10894.92,10872.17,10892.75,10:00:00,2018-02-27
1346,2018-02-27 11:00:00,10893.99,10893.99,10872.28,10883.66,11:00:00,2018-02-27
1347,2018-02-27 12:00:00,10883.96,10886.12,10844.9,10850.45,12:00:00,2018-02-27
1348,2018-02-27 13:00:00,10850.52,10854.61,10815.47,10815.47,13:00:00,2018-02-27
1392,2018-03-01 09:00:00,10779.1,10779.1,10709.69,10755.92,09:00:00,2018-03-01
1393,2018-03-01 10:00:00,10761.46,10793.03,10751.31,10785.8,10:00:00,2018-03-01
1394,2018-03-01 11:00:00,10785.94,10797.33,10780.6,10783.05,11:00:00,2018-03-01
1395,2018-03-01 12:00:00,10784.1,10798.28,10776.45,10795.12,12:00:00,2018-03-01
1396,2018-03-01 13:00:00,10797.38,10805.55,10785.79,10785.79,13:00:00,2018-03-01
1416,2018-03-02 09:00:00,10719.29,10719.29,10638.98,10691.76,09:00:00,2018-03-02
1417,2018-03-02 10:00:00,10692.25,10697.7,10666.78,10675.49,10:00:00,2018-03-02
1418,2018-03-02 11:00:00,10676.25,10693.55,10667.15,10690.22,11:00:00,2018-03-02
1419,2018-03-02 12:00:00,10691.03,10702.43,10685.37,10692.71,12:00:00,2018-03-02
1420,2018-03-02 13:00:00,10691.59,10699.45,10687.62,10698.17,13:00:00,2018-03-02
1824,2018-03-19 09:00:00,11004.81,11017.01,10983.25,11002.14,09:00:00,2018-03-19
1825,2018-03-19 10:00:00,11002.52,11066.0,11002.05,11048.77,10:00:00,2018-03-19
1826,2018-03-19 11:00:00,11049.32,11055.27,11024.94,11034.33,11:00:00,2018-03-19
1827,2018-03-19 12:00:00,11037.34,11040.28,11015.87,11025.64,12:00:00,2018-03-19
1828,2018-03-19 13:00:00,11025.14,11046.9,11021.38,11046.9,13:00:00,2018-03-19
1848,2018-03-20 09:00:00,11016.85,11016.85,10981.04,11010.36,09:00:00,2018-03-20
1849,2018-03-20 10:00:00,11004.49,11010.64,10991.57,11001.98,10:00:00,2018-03-20
1850,2018-03-20 11:00:00,10999.28,11008.17,10983.85,10989.56,11:00:00,2018-03-20
1851,2018-03-20 12:00:00,10989.24,11009.57,10986.52,11002.57,12:00:00,2018-03-20
1852,2018-03-20 13:00:00,11003.87,11020.78,11001.09,11010.84,13:00:00,2018-03-20
1872,2018-03-21 09:00:00,11037.35,11072.31,11026.4,11028.31,09:00:00,2018-03-21
1873,2018-03-21 10:00:00,11027.4,11048.25,11022.38,11043.74,10:00:00,2018-03-21
1874,2018-03-21 11:00:00,11044.39,11050.32,11033.6,11037.2,11:00:00,2018-03-21
1875,2018-03-21 12:00:00,11037.74,11053.28,11030.84,11045.97,12:00:00,2018-03-21
1876,2018-03-21 13:00:00,11045.13,11051.98,11011.07,11011.07,13:00:00,2018-03-21
1896,2018-03-22 09:00:00,11045.9,11120.2,11045.9,11078.58,09:00:00,2018-03-22
1897,2018-03-22 10:00:00,11078.81,11082.69,11013.81,11019.35,10:00:00,2018-03-22
1898,2018-03-22 11:00:00,11018.45,11038.51,11007.8,11029.3,11:00:00,2018-03-22
1899,2018-03-22 12:00:00,11031.36,11031.71,10979.68,10981.39,12:00:00,2018-03-22
1900,2018-03-22 13:00:00,10979.31,11005.84,10975.33,11005.84,13:00:00,2018-03-22
1920,2018-03-23 09:00:00,10863.67,10863.67,10758.06,10847.62,09:00:00,2018-03-23
1921,2018-03-23 10:00:00,10844.61,10861.36,10808.27,10826.53,10:00:00,2018-03-23
1922,2018-03-23 11:00:00,10827.18,10843.6,10822.77,10832.12,11:00:00,2018-03-23
1923,2018-03-23 12:00:00,10831.4,10835.55,10809.7,10816.38,12:00:00,2018-03-23
1924,2018-03-23 13:00:00,10814.44,10823.62,10803.98,10823.33,13:00:00,2018-03-23
1992,2018-03-26 09:00:00,10783.57,10831.82,10781.43,10816.28,09:00:00,2018-03-26
1993,2018-03-26 10:00:00,10813.59,10839.05,10810.61,10825.32,10:00:00,2018-03-26
1994,2018-03-26 11:00:00,10829.24,10834.08,10807.3,10816.96,11:00:00,2018-03-26
1995,2018-03-26 12:00:00,10815.15,10818.47,10801.66,10811.61,12:00:00,2018-03-26
1996,2018-03-26 13:00:00,10809.69,10840.05,10804.29,10840.05,13:00:00,2018-03-26
2016,2018-03-27 09:00:00,10901.69,10963.56,10901.69,10953.41,09:00:00,2018-03-27
2017,2018-03-27 10:00:00,10949.95,10976.58,10946.77,10956.38,10:00:00,2018-03-27
2018,2018-03-27 11:00:00,10950.57,10969.1,10948.18,10953.23,11:00:00,2018-03-27
2019,2018-03-27 12:00:00,10955.33,10968.73,10950.25,10964.21,12:00:00,2018-03-27
2020,2018-03-27 13:00:00,10964.38,10986.79,10955.25,10986.79,13:00:00,2018-03-27
2040,2018-03-28 09:00:00,10939.97,10939.97,10888.84,10918.71,09:00:00,2018-03-28
2041,2018-03-28 10:00:00,10919.39,10919.47,10888.38,10896.16,10:00:00,2018-03-28
2042,2018-03-28 11:00:00,10895.78,10898.87,10867.58,10872.27,11:00:00,2018-03-28
2043,2018-03-28 12:00:00,10874.55,10888.37,10866.6,10876.63,12:00:00,2018-03-28
